ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Price,Yearly_sales,Rating,Genre,Language
809237601,The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera,Ellis Weiner,1993,McGraw Hill - NTC,http://images.amazon.com/images/P/0809237601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.LZZZZZZZ.jpg,$265.73,88241,2,Adventure,Icelandic
806514094,Northern Exposure: The Official Publication of the Television Series,Louis Chunovic,1993,Carol Pub Group,http://images.amazon.com/images/P/0806514094.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806514094.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806514094.01.LZZZZZZZ.jpg,$99.19,31678,9,Action,Hiri Motu
786860642,Northern Exposures: Photographs,Rob Morrow,1994,Hyperion Books,http://images.amazon.com/images/P/0786860642.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786860642.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786860642.01.LZZZZZZZ.jpg,$423.75,32689,1,Documentary,Gujarati
671777351,Letters from Cicely,Ellis Weiner,1992,Pocket,http://images.amazon.com/images/P/0671777351.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671777351.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671777351.01.LZZZZZZZ.jpg,$134.07,38658,7,Drama,Norwegian
067084487X,The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book),Jon Scieszka,1993,Viking Books,http://images.amazon.com/images/P/067084487X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067084487X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067084487X.01.LZZZZZZZ.jpg,$360.50,46551,7,Documentary,Malayalam
821211226,Portfolios of Ansel Adams,Ansel E. Adams,1981,Bulfinch Press,http://images.amazon.com/images/P/0821211226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821211226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821211226.01.LZZZZZZZ.jpg,$80.93,51295,9,Comedy,Greek
62508482,Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,1993,HarperCollins,http://images.amazon.com/images/P/0062508482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062508482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062508482.01.LZZZZZZZ.jpg,$67.94,33529,1,Action,Gagauz
912776412,Beyond Birth and Death,A. C. Bhaktivedanta Swami Prabhupada,1972,Bhaktivedanta Book Trust,http://images.amazon.com/images/P/0912776412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0912776412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0912776412.01.LZZZZZZZ.jpg,$351.62,3280,6,Crime,Oriya
892132701,Journey of Self-Discovery,A. C. Bhaktivedanta Swami Prabhupada,1990,Bhaktivedanta Book Trust,http://images.amazon.com/images/P/0892132701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0892132701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0892132701.01.LZZZZZZZ.jpg,$215.94,5932,7,Horror,Lao
553255959,The Complete Book of Palmistry,Joyce Wilson,1983,Bantam Books,http://images.amazon.com/images/P/0553255959.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553255959.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553255959.01.LZZZZZZZ.jpg,$174.68,44110,4,Comedy,Persian
385484100,The Language of Life: A Festival of Poets,Bill D. Moyers,1996,Main Street Books,http://images.amazon.com/images/P/0385484100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385484100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385484100.01.LZZZZZZZ.jpg,$487.59,30623,7,Horror,Romanian
140422226,Walt Whitman: The Complete Poems (Penguin Classics),Francis Murphy,1990,Penguin Books,http://images.amazon.com/images/P/0140422226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140422226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140422226.01.LZZZZZZZ.jpg,$79.65,30227,3,Drama,Swedish
62509594,Essential Rumi,Coleman Barks,1997,HarperSanFrancisco,http://images.amazon.com/images/P/0062509594.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062509594.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062509594.01.LZZZZZZZ.jpg,$66.00,3440,6,Western,Khmer
446673714,The Soul's Code : In Search of Character and Calling,James Hillman,1997,Warner Books,http://images.amazon.com/images/P/0446673714.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446673714.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446673714.01.LZZZZZZZ.jpg,$317.83,20941,2,Comedy,Greek
62500287,The Flight of the Seventh Moon: The Teaching of the Shields,Lynn Andrews,1985,HarperCollins Publishers,http://images.amazon.com/images/P/0062500287.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062500287.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062500287.01.LZZZZZZZ.jpg,$162.95,61673,2,Action,Spanish
1577311868,Developing Intuition: Practical Guidance for Daily Life,Shakti Gawain,2001,New World Library,http://images.amazon.com/images/P/1577311868.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1577311868.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1577311868.01.LZZZZZZZ.jpg,$322.47,49670,7,Adventure,Luxembourgish
62513346,The Valkyries,Paulo Coelho,1996,HarperSanFrancisco,http://images.amazon.com/images/P/0062513346.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062513346.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062513346.01.LZZZZZZZ.jpg,$414.77,9651,6,Comedy,Arabic
30020786,Principles of Instrumental Analysis,Douglas A. Skoog,1997,Brooks Cole,http://images.amazon.com/images/P/0030020786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0030020786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0030020786.01.LZZZZZZZ.jpg,$143.81,85717,2,Action,Belarusian
