ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Price,Yearly_sales,Rating,Genre,Language
809237601,The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera,Ellis Weiner,1993,McGraw Hill - NTC,http://images.amazon.com/images/P/0809237601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809237601.01.LZZZZZZZ.jpg,265.73,43120,2.3,Adventure,Icelandic
806514094,Northern Exposure: The Official Publication of the Television Series,Louis Chunovic,1993,Carol Pub Group,http://images.amazon.com/images/P/0806514094.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806514094.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806514094.01.LZZZZZZZ.jpg,99.19,160272,9.9,Action,Hiri Motu
786860642,Northern Exposures: Photographs,Rob Morrow,1994,Hyperion Books,http://images.amazon.com/images/P/0786860642.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786860642.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786860642.01.LZZZZZZZ.jpg,423.75,18870,1.8,Documentary,Gujarati
671777351,Letters from Cicely,Ellis Weiner,1992,Pocket,http://images.amazon.com/images/P/0671777351.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671777351.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671777351.01.LZZZZZZZ.jpg,134.07,103222,7.5,Drama,Norwegian
067084487X,The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book),Jon Scieszka,1993,Viking Books,http://images.amazon.com/images/P/067084487X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067084487X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067084487X.01.LZZZZZZZ.jpg,360.5,101101,7.3,Documentary,Malayalam
821211226,Portfolios of Ansel Adams,Ansel E. Adams,1981,Bulfinch Press,http://images.amazon.com/images/P/0821211226.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821211226.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821211226.01.LZZZZZZZ.jpg,80.93,122301,9.5,Comedy,Greek
62508482,Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,1993,HarperCollins,http://images.amazon.com/images/P/0062508482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062508482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062508482.01.LZZZZZZZ.jpg,67.94,12376,1.6,Action,Gagauz
912776412,Beyond Birth and Death,A. C. Bhaktivedanta Swami Prabhupada,1972,Bhaktivedanta Book Trust,http://images.amazon.com/images/P/0912776412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0912776412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0912776412.01.LZZZZZZZ.jpg,351.62,95658,6.6,Crime,Oriya
892132701,Journey of Self-Discovery,A. C. Bhaktivedanta Swami Prabhupada,1990,Bhaktivedanta Book Trust,http://images.amazon.com/images/P/0892132701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0892132701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0892132701.01.LZZZZZZZ.jpg,215.94,97104,7.1,Horror,Lao
553255959,The Complete Book of Palmistry,Joyce Wilson,1983,Bantam Books,http://images.amazon.com/images/P/0553255959.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553255959.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553255959.01.LZZZZZZZ.jpg,174.68,50820,4.2,Comedy,Persian
